Team1_Pyth,Team1_Luck,Team1_SOS_Pyth,Team1_NCSOS_Pyth,Team2_Pyth,Team2_Luck,Team2_SOS_Pyth,Team2_NCSOS_Pyth,outcome
30.19,0.002,6.58,3.48,16.34,0.048,12.0,8.58,0
17.49,-0.01,7.92,-0.39,19.76,0.005,7.51,-1.26,1
19.76,0.005,7.51,-1.26,17.49,-0.01,7.92,-0.39,0
20.54,0.079,14.22,17.56,11.01,0.032,3.51,-5.47,1
11.01,0.032,3.51,-5.47,20.54,0.079,14.22,17.56,0
26.04,0.043,8.77,-0.44,18.6,0.051,5.1,5.37,1
18.6,0.051,5.1,5.37,26.04,0.043,8.77,-0.44,0
29.25,0.025,9.88,1.62,13.22,0.049,10.57,8.49,1
13.22,0.049,10.57,8.49,29.25,0.025,9.88,1.62,0
22.21,-0.029,12.97,6.75,15.59,0.001,2.03,-1.44,1
15.59,0.001,2.03,-1.44,22.21,-0.029,12.97,6.75,0
13.45,0.034,2.12,3.16,18.44,-0.021,9.88,3.3,1
18.44,-0.021,9.88,3.3,13.45,0.034,2.12,3.16,0
19.36,0.063,8.19,1.73,19.15,0.012,8.28,-5.56,1
19.15,0.012,8.28,-5.56,19.36,0.063,8.19,1.73,0
28.99,0.022,10.67,8.32,20.32,-0.02,10.33,2.1,1
20.32,-0.02,10.33,2.1,28.99,0.022,10.67,8.32,0
23.21,0.016,10.6,6.79,11.82,0.029,1.39,0.93,1
11.82,0.029,1.39,0.93,23.21,0.016,10.6,6.79,0
17.69,-0.021,10.18,5.3,18.25,0.107,8.93,-0.96,1
18.25,0.107,8.93,-0.96,17.69,-0.021,10.18,5.3,0
22.97,-0.041,8.15,-3.3,17.35,0.006,11.24,5.85,1
17.35,0.006,11.24,5.85,22.97,-0.041,8.15,-3.3,0
24.8,-0.049,14.12,13.54,34.19,-0.027000000000000003,9.87,6.66,1
34.19,-0.027000000000000003,9.87,6.66,24.8,-0.049,14.12,13.54,0
20.39,0.008,3.11,2.99,19.94,0.0,3.12,-12.07,1
19.94,0.0,3.12,-12.07,20.39,0.008,3.11,2.99,0
17.49,-0.01,7.92,-0.39,16.34,0.048,12.0,8.58,1
16.34,0.048,12.0,8.58,17.49,-0.01,7.92,-0.39,0
26.04,0.043,8.77,-0.44,20.54,0.079,14.22,17.56,1
20.54,0.079,14.22,17.56,26.04,0.043,8.77,-0.44,0
29.25,0.025,9.88,1.62,22.21,-0.029,12.97,6.75,1
22.21,-0.029,12.97,6.75,29.25,0.025,9.88,1.62,0
19.36,0.063,8.19,1.73,13.45,0.034,2.12,3.16,1
13.45,0.034,2.12,3.16,19.36,0.063,8.19,1.73,0
28.99,0.022,10.67,8.32,23.21,0.016,10.6,6.79,1
23.21,0.016,10.6,6.79,28.99,0.022,10.67,8.32,0
22.97,-0.041,8.15,-3.3,17.69,-0.021,10.18,5.3,1
17.69,-0.021,10.18,5.3,22.97,-0.041,8.15,-3.3,0
24.8,-0.049,14.12,13.54,20.39,0.008,3.11,2.99,1
20.39,0.008,3.11,2.99,24.8,-0.049,14.12,13.54,0
26.04,0.043,8.77,-0.44,17.49,-0.01,7.92,-0.39,1
17.49,-0.01,7.92,-0.39,26.04,0.043,8.77,-0.44,0
29.25,0.025,9.88,1.62,19.36,0.063,8.19,1.73,1
19.36,0.063,8.19,1.73,29.25,0.025,9.88,1.62,0
28.99,0.022,10.67,8.32,22.97,-0.041,8.15,-3.3,1
22.97,-0.041,8.15,-3.3,28.99,0.022,10.67,8.32,0
24.8,-0.049,14.12,13.54,26.04,0.043,8.77,-0.44,1
26.04,0.043,8.77,-0.44,24.8,-0.049,14.12,13.54,0
29.25,0.025,9.88,1.62,28.99,0.022,10.67,8.32,1
28.99,0.022,10.67,8.32,29.25,0.025,9.88,1.62,0
29.25,0.025,9.88,1.62,24.8,-0.049,14.12,13.54,1
24.8,-0.049,14.12,13.54,29.25,0.025,9.88,1.62,0
-12.35,0.119,-6.45,11.61,-10.45,0.037000000000000005,-12.97,-8.09,1
-10.45,0.037000000000000005,-12.97,-8.09,-12.35,0.119,-6.45,11.61,0
29.18,0.051,11.2,6.77,0.46,0.071,-2.19,2.78,1
0.46,0.071,-2.19,2.78,29.18,0.051,11.2,6.77,0
14.04,0.069,5.23,1.55,14.25,0.032,5.24,-4.41,1
14.25,0.032,5.24,-4.41,14.04,0.069,5.23,1.55,0
22.07,-0.024,6.46,-1.01,8.88,0.073,-1.73,1.29,1
8.88,0.073,-1.73,1.29,22.07,-0.024,6.46,-1.01,0
13.04,-0.061,1.05,4.16,14.53,0.084,4.93,5.54,1
14.53,0.084,4.93,5.54,13.04,-0.061,1.05,4.16,0
17.32,0.043,11.14,2.97,11.76,0.063,1.97,3.35,1
11.76,0.063,1.97,3.35,17.32,0.043,11.14,2.97,0
21.3,0.07,7.94,-1.46,10.4,0.065,-5.57,-0.64,1
10.4,0.065,-5.57,-0.64,21.3,0.07,7.94,-1.46,0
14.48,0.05,10.49,9.29,14.6,-0.015,9.55,2.31,1
14.6,-0.015,9.55,2.31,14.48,0.05,10.49,9.29,0
28.61,-0.023,7.07,-8.24,-1.16,0.049,-7.45,2.38,1
-1.16,0.049,-7.45,2.38,28.61,-0.023,7.07,-8.24,0
26.8,-0.006999999999999999,8.69,8.19,1.57,0.019,-5.13,-2.29,1
1.57,0.019,-5.13,-2.29,26.8,-0.006999999999999999,8.69,8.19,0
15.58,-0.021,3.93,5.83,14.69,-0.069,7.35,3.74,1
14.69,-0.069,7.35,3.74,15.58,-0.021,3.93,5.83,0
20.31,0.009000000000000001,11.0,3.78,12.97,0.025,2.06,1.05,1
12.97,0.025,2.06,1.05,20.31,0.009000000000000001,11.0,3.78,0
24.47,-0.029,7.29,-4.18,11.75,0.035,1.09,2.09,1
11.75,0.035,1.09,2.09,24.47,-0.029,7.29,-4.18,0
10.01,0.13699999999999998,2.06,2.87,17.54,0.026,-0.19,-0.51,1
17.54,0.026,-0.19,-0.51,10.01,0.13699999999999998,2.06,2.87,0
23.75,-0.03,8.85,0.64,5.96,0.031,4.39,-3.45,1
5.96,0.031,4.39,-3.45,23.75,-0.03,8.85,0.64,0
16.49,-0.014,8.74,5.44,16.72,0.005,4.84,3.33,1
16.72,0.005,4.84,3.33,16.49,-0.014,8.74,5.44,0
28.62,-0.017,11.84,6.08,7.41,0.003,-2.0,-0.07,1
7.41,0.003,-2.0,-0.07,28.62,-0.017,11.84,6.08,0
23.49,-0.009000000000000001,10.36,2.16,-12.35,0.119,-6.45,11.61,1
-12.35,0.119,-6.45,11.61,23.49,-0.009000000000000001,10.36,2.16,0
17.42,-0.012,9.53,4.87,18.15,-0.035,6.27,-8.36,1
18.15,-0.035,6.27,-8.36,17.42,-0.012,9.53,4.87,0
19.54,0.005,8.75,-3.47,17.68,-0.031,5.49,5.2,1
17.68,-0.031,5.49,5.2,19.54,0.005,8.75,-3.47,0
14.57,0.066,7.26,3.76,8.32,0.003,3.37,6.03,1
8.32,0.003,3.37,6.03,14.57,0.066,7.26,3.76,0
22.0,-0.078,8.23,-5.28,14.62,-0.031,-2.47,-0.81,1
14.62,-0.031,-2.47,-0.81,22.0,-0.078,8.23,-5.28,0
19.88,0.018000000000000002,4.8,4.84,6.15,0.105,-5.2,-2.77,1
6.15,0.105,-5.2,-2.77,19.88,0.018000000000000002,4.8,4.84,0
20.26,-0.05,10.11,3.19,15.27,0.001,9.02,0.22,1
15.27,0.001,9.02,0.22,20.26,-0.05,10.11,3.19,0
22.14,0.008,8.3,-0.89,0.82,0.08800000000000001,-7.41,-2.0,1
0.82,0.08800000000000001,-7.41,-2.0,22.14,0.008,8.3,-0.89,0
23.01,0.034,9.01,-2.32,-8.59,0.115,-12.27,-0.55,1
-8.59,0.115,-12.27,-0.55,23.01,0.034,9.01,-2.32,0
13.59,0.061,7.06,0.3,13.18,-0.023,8.48,-6.47,1
13.18,-0.023,8.48,-6.47,13.59,0.061,7.06,0.3,0
16.09,0.073,4.1,1.83,21.53,-0.06,8.85,-2.62,1
21.53,-0.06,8.85,-2.62,16.09,0.073,4.1,1.83,0
22.75,-0.029,6.82,5.99,2.65,0.171,-0.97,7.41,1
2.65,0.171,-0.97,7.41,22.75,-0.029,6.82,5.99,0
17.67,0.003,9.08,-1.14,13.35,0.035,-1.53,3.49,1
13.35,0.035,-1.53,3.49,17.67,0.003,9.08,-1.14,0
23.28,0.083,10.32,-3.63,10.04,0.014,-1.71,2.51,1
10.04,0.014,-1.71,2.51,23.28,0.083,10.32,-3.63,0
13.63,0.051,8.22,-4.71,20.75,-0.049,4.61,5.8,1
20.75,-0.049,4.61,5.8,13.63,0.051,8.22,-4.71,0
19.87,0.073,7.83,-3.8,1.75,0.036000000000000004,-1.8,4.8,1
1.75,0.036000000000000004,-1.8,4.8,19.87,0.073,7.83,-3.8,0
29.18,0.051,11.2,6.77,14.04,0.069,5.23,1.55,1
14.04,0.069,5.23,1.55,29.18,0.051,11.2,6.77,0
22.07,-0.024,6.46,-1.01,13.04,-0.061,1.05,4.16,1
13.04,-0.061,1.05,4.16,22.07,-0.024,6.46,-1.01,0
21.3,0.07,7.94,-1.46,17.32,0.043,11.14,2.97,1
17.32,0.043,11.14,2.97,21.3,0.07,7.94,-1.46,0
28.61,-0.023,7.07,-8.24,14.48,0.05,10.49,9.29,1
14.48,0.05,10.49,9.29,28.61,-0.023,7.07,-8.24,0
26.8,-0.006999999999999999,8.69,8.19,15.58,-0.021,3.93,5.83,1
15.58,-0.021,3.93,5.83,26.8,-0.006999999999999999,8.69,8.19,0
20.31,0.009000000000000001,11.0,3.78,24.47,-0.029,7.29,-4.18,1
24.47,-0.029,7.29,-4.18,20.31,0.009000000000000001,11.0,3.78,0
23.75,-0.03,8.85,0.64,10.01,0.13699999999999998,2.06,2.87,1
10.01,0.13699999999999998,2.06,2.87,23.75,-0.03,8.85,0.64,0
28.62,-0.017,11.84,6.08,16.49,-0.014,8.74,5.44,1
16.49,-0.014,8.74,5.44,28.62,-0.017,11.84,6.08,0
23.49,-0.009000000000000001,10.36,2.16,17.42,-0.012,9.53,4.87,1
17.42,-0.012,9.53,4.87,23.49,-0.009000000000000001,10.36,2.16,0
19.54,0.005,8.75,-3.47,14.57,0.066,7.26,3.76,1
14.57,0.066,7.26,3.76,19.54,0.005,8.75,-3.47,0
22.0,-0.078,8.23,-5.28,19.88,0.018000000000000002,4.8,4.84,1
19.88,0.018000000000000002,4.8,4.84,22.0,-0.078,8.23,-5.28,0
20.26,-0.05,10.11,3.19,22.14,0.008,8.3,-0.89,1
22.14,0.008,8.3,-0.89,20.26,-0.05,10.11,3.19,0
23.01,0.034,9.01,-2.32,13.59,0.061,7.06,0.3,1
13.59,0.061,7.06,0.3,23.01,0.034,9.01,-2.32,0
16.09,0.073,4.1,1.83,22.75,-0.029,6.82,5.99,1
22.75,-0.029,6.82,5.99,16.09,0.073,4.1,1.83,0
23.28,0.083,10.32,-3.63,17.67,0.003,9.08,-1.14,1
17.67,0.003,9.08,-1.14,23.28,0.083,10.32,-3.63,0
13.63,0.051,8.22,-4.71,19.87,0.073,7.83,-3.8,1
19.87,0.073,7.83,-3.8,13.63,0.051,8.22,-4.71,0
29.18,0.051,11.2,6.77,22.07,-0.024,6.46,-1.01,1
22.07,-0.024,6.46,-1.01,29.18,0.051,11.2,6.77,0
21.3,0.07,7.94,-1.46,28.61,-0.023,7.07,-8.24,1
28.61,-0.023,7.07,-8.24,21.3,0.07,7.94,-1.46,0
26.8,-0.006999999999999999,8.69,8.19,20.31,0.009000000000000001,11.0,3.78,1
20.31,0.009000000000000001,11.0,3.78,26.8,-0.006999999999999999,8.69,8.19,0
28.62,-0.017,11.84,6.08,23.75,-0.03,8.85,0.64,1
23.75,-0.03,8.85,0.64,28.62,-0.017,11.84,6.08,0
23.49,-0.009000000000000001,10.36,2.16,19.54,0.005,8.75,-3.47,1
19.54,0.005,8.75,-3.47,23.49,-0.009000000000000001,10.36,2.16,0
20.26,-0.05,10.11,3.19,22.0,-0.078,8.23,-5.28,1
22.0,-0.078,8.23,-5.28,20.26,-0.05,10.11,3.19,0
23.01,0.034,9.01,-2.32,16.09,0.073,4.1,1.83,1
16.09,0.073,4.1,1.83,23.01,0.034,9.01,-2.32,0
23.28,0.083,10.32,-3.63,13.63,0.051,8.22,-4.71,1
13.63,0.051,8.22,-4.71,23.28,0.083,10.32,-3.63,0
21.3,0.07,7.94,-1.46,29.18,0.051,11.2,6.77,1
29.18,0.051,11.2,6.77,21.3,0.07,7.94,-1.46,0
28.62,-0.017,11.84,6.08,26.8,-0.006999999999999999,8.69,8.19,1
26.8,-0.006999999999999999,8.69,8.19,28.62,-0.017,11.84,6.08,0
23.49,-0.009000000000000001,10.36,2.16,20.26,-0.05,10.11,3.19,1
20.26,-0.05,10.11,3.19,23.49,-0.009000000000000001,10.36,2.16,0
23.28,0.083,10.32,-3.63,23.01,0.034,9.01,-2.32,1
23.01,0.034,9.01,-2.32,23.28,0.083,10.32,-3.63,0
28.62,-0.017,11.84,6.08,21.3,0.07,7.94,-1.46,1
21.3,0.07,7.94,-1.46,28.62,-0.017,11.84,6.08,0
23.28,0.083,10.32,-3.63,23.49,-0.009000000000000001,10.36,2.16,1
23.49,-0.009000000000000001,10.36,2.16,23.28,0.083,10.32,-3.63,0
23.28,0.083,10.32,-3.63,28.62,-0.017,11.84,6.08,1
28.62,-0.017,11.84,6.08,23.28,0.083,10.32,-3.63,0
-9.35,0.005,-9.84,1.67,-7.01,0.055,-11.5,-9.88,1
-7.01,0.055,-11.5,-9.88,-9.35,0.005,-9.84,1.67,0
23.35,0.031,8.97,3.47,-9.35,0.005,-9.84,1.67,1
-9.35,0.005,-9.84,1.67,23.35,0.031,8.97,3.47,0
13.63,0.019,5.34,1.6,10.78,0.031,6.16,2.14,1
10.78,0.031,6.16,2.14,13.63,0.019,5.34,1.6,0
8.93,0.096,0.28,3.56,18.32,0.003,8.8,4.05,1
18.32,0.003,8.8,4.05,8.93,0.096,0.28,3.56,0
20.89,0.017,10.39,6.53,10.39,0.037000000000000005,-0.52,-2.97,1
10.39,0.037000000000000005,-0.52,-2.97,20.89,0.017,10.39,6.53,0
15.42,0.045,7.21,-2.14,14.13,0.064,4.45,-0.97,1
14.13,0.064,4.45,-0.97,15.42,0.045,7.21,-2.14,0
24.69,0.008,13.74,0.97,8.78,0.022,2.45,-1.91,1
8.78,0.022,2.45,-1.91,24.69,0.008,13.74,0.97,0
20.27,-0.039,7.09,4.97,15.66,-0.014,8.92,7.6,1
15.66,-0.014,8.92,7.6,20.27,-0.039,7.09,4.97,0
25.34,0.013,3.28,7.0,0.53,0.068,-1.31,0.85,1
0.53,0.068,-1.31,0.85,25.34,0.013,3.28,7.0,0
27.66,0.06,6.99,8.86,-2.5,0.0,-5.73,5.71,1
-2.5,0.0,-5.73,5.71,27.66,0.06,6.99,8.86,0
17.11,0.01,8.29,2.29,14.25,0.015,5.72,2.66,1
14.25,0.015,5.72,2.66,17.11,0.01,8.29,2.29,0
13.38,0.012,-1.77,1.31,18.26,-0.023,9.6,0.08,1
18.26,-0.023,9.6,0.08,13.38,0.012,-1.77,1.31,0
21.69,-0.019,13.52,1.79,9.09,0.076,-0.29,0.29,1
9.09,0.076,-0.29,0.29,21.69,-0.019,13.52,1.79,0
25.74,-0.001,8.34,3.63,15.07,-0.06,6.95,7.66,1
15.07,-0.06,6.95,7.66,25.74,-0.001,8.34,3.63,0
25.91,-0.028,5.97,-8.2,5.91,0.087,-5.87,-3.79,1
5.91,0.087,-5.87,-3.79,25.91,-0.028,5.97,-8.2,0
16.17,0.012,5.55,1.83,15.02,-0.0,6.15,-8.05,1
15.02,-0.0,6.15,-8.05,16.17,0.012,5.55,1.83,0
27.37,0.029,7.56,-5.55,3.09,0.014,-0.25,7.22,1
3.09,0.014,-0.25,7.22,27.37,0.029,7.56,-5.55,0
32.33,-0.028,12.59,2.42,-10.72,0.023,-12.06,0.53,1
-10.72,0.023,-12.06,0.53,32.33,-0.028,12.59,2.42,0
17.35,-0.004,7.85,-1.14,16.18,-0.07200000000000001,5.72,4.6,1
16.18,-0.07200000000000001,5.72,4.6,17.35,-0.004,7.85,-1.14,0
22.11,0.055,8.13,2.52,10.62,0.064,-3.8,1.25,1
10.62,0.064,-3.8,1.25,22.11,0.055,8.13,2.52,0
21.56,0.003,5.62,-0.28,8.6,0.016,-2.39,0.64,1
8.6,0.016,-2.39,0.64,21.56,0.003,5.62,-0.28,0
23.23,-0.091,13.85,2.76,15.42,0.025,0.58,-10.49,1
15.42,0.025,0.58,-10.49,23.23,-0.091,13.85,2.76,0
21.54,0.038,9.27,0.8,4.86,0.033,-4.32,-0.07,1
4.86,0.033,-4.32,-0.07,21.54,0.038,9.27,0.8,0
20.16,-0.022,7.19,2.75,20.44,-0.079,7.09,4.23,1
20.44,-0.079,7.09,4.23,20.16,-0.022,7.19,2.75,0
21.74,0.021,6.38,-1.89,-3.99,0.112,-6.71,2.53,1
-3.99,0.112,-6.71,2.53,21.74,0.021,6.38,-1.89,0
22.52,0.051,3.76,-1.79,-7.69,0.103,-7.71,-5.14,1
-7.69,0.103,-7.71,-5.14,22.52,0.051,3.76,-1.79,0
16.5,0.004,11.2,6.59,14.33,0.046,2.54,2.25,1
14.33,0.046,2.54,2.25,16.5,0.004,11.2,6.59,0
16.34,0.086,7.88,-4.61,15.64,0.02,7.13,6.41,1
15.64,0.02,7.13,6.41,16.34,0.086,7.88,-4.61,0
19.81,-0.009000000000000001,14.09,-1.13,14.69,0.046,4.31,-6.38,1
14.69,0.046,4.31,-6.38,19.81,-0.009000000000000001,14.09,-1.13,0
18.64,-0.002,7.87,-6.57,16.29,0.037000000000000005,-0.63,-1.21,1
16.29,0.037000000000000005,-0.63,-1.21,18.64,-0.002,7.87,-6.57,0
23.98,-0.07200000000000001,12.81,-0.59,10.23,0.006,0.84,10.92,1
10.23,0.006,0.84,10.92,23.98,-0.07200000000000001,12.81,-0.59,0
11.36,0.091,5.83,-0.62,9.75,0.084,3.26,-1.55,1
9.75,0.084,3.26,-1.55,11.36,0.091,5.83,-0.62,0
28.3,0.012,8.93,-2.05,-1.37,0.113,-8.08,-2.5,1
-1.37,0.113,-8.08,-2.5,28.3,0.012,8.93,-2.05,0
13.63,0.019,5.34,1.6,23.35,0.031,8.97,3.47,1
23.35,0.031,8.97,3.47,13.63,0.019,5.34,1.6,0
20.89,0.017,10.39,6.53,8.93,0.096,0.28,3.56,1
8.93,0.096,0.28,3.56,20.89,0.017,10.39,6.53,0
24.69,0.008,13.74,0.97,15.42,0.045,7.21,-2.14,1
15.42,0.045,7.21,-2.14,24.69,0.008,13.74,0.97,0
20.27,-0.039,7.09,4.97,25.34,0.013,3.28,7.0,1
25.34,0.013,3.28,7.0,20.27,-0.039,7.09,4.97,0
27.66,0.06,6.99,8.86,17.11,0.01,8.29,2.29,1
17.11,0.01,8.29,2.29,27.66,0.06,6.99,8.86,0
21.69,-0.019,13.52,1.79,13.38,0.012,-1.77,1.31,1
13.38,0.012,-1.77,1.31,21.69,-0.019,13.52,1.79,0
25.91,-0.028,5.97,-8.2,25.74,-0.001,8.34,3.63,1
25.74,-0.001,8.34,3.63,25.91,-0.028,5.97,-8.2,0
27.37,0.029,7.56,-5.55,16.17,0.012,5.55,1.83,1
16.17,0.012,5.55,1.83,27.37,0.029,7.56,-5.55,0
32.33,-0.028,12.59,2.42,17.35,-0.004,7.85,-1.14,1
17.35,-0.004,7.85,-1.14,32.33,-0.028,12.59,2.42,0
22.11,0.055,8.13,2.52,21.56,0.003,5.62,-0.28,1
21.56,0.003,5.62,-0.28,22.11,0.055,8.13,2.52,0
21.54,0.038,9.27,0.8,23.23,-0.091,13.85,2.76,1
23.23,-0.091,13.85,2.76,21.54,0.038,9.27,0.8,0
20.16,-0.022,7.19,2.75,21.74,0.021,6.38,-1.89,1
21.74,0.021,6.38,-1.89,20.16,-0.022,7.19,2.75,0
16.5,0.004,11.2,6.59,22.52,0.051,3.76,-1.79,1
22.52,0.051,3.76,-1.79,16.5,0.004,11.2,6.59,0
16.34,0.086,7.88,-4.61,19.81,-0.009000000000000001,14.09,-1.13,1
19.81,-0.009000000000000001,14.09,-1.13,16.34,0.086,7.88,-4.61,0
18.64,-0.002,7.87,-6.57,23.98,-0.07200000000000001,12.81,-0.59,1
23.98,-0.07200000000000001,12.81,-0.59,18.64,-0.002,7.87,-6.57,0
28.3,0.012,8.93,-2.05,11.36,0.091,5.83,-0.62,1
11.36,0.091,5.83,-0.62,28.3,0.012,8.93,-2.05,0
20.89,0.017,10.39,6.53,13.63,0.019,5.34,1.6,1
13.63,0.019,5.34,1.6,20.89,0.017,10.39,6.53,0
24.69,0.008,13.74,0.97,20.27,-0.039,7.09,4.97,1
20.27,-0.039,7.09,4.97,24.69,0.008,13.74,0.97,0
27.66,0.06,6.99,8.86,21.69,-0.019,13.52,1.79,1
21.69,-0.019,13.52,1.79,27.66,0.06,6.99,8.86,0
27.37,0.029,7.56,-5.55,25.91,-0.028,5.97,-8.2,1
25.91,-0.028,5.97,-8.2,27.37,0.029,7.56,-5.55,0
32.33,-0.028,12.59,2.42,22.11,0.055,8.13,2.52,1
22.11,0.055,8.13,2.52,32.33,-0.028,12.59,2.42,0
20.16,-0.022,7.19,2.75,21.54,0.038,9.27,0.8,1
21.54,0.038,9.27,0.8,20.16,-0.022,7.19,2.75,0
16.5,0.004,11.2,6.59,16.34,0.086,7.88,-4.61,1
16.34,0.086,7.88,-4.61,16.5,0.004,11.2,6.59,0
28.3,0.012,8.93,-2.05,18.64,-0.002,7.87,-6.57,1
18.64,-0.002,7.87,-6.57,28.3,0.012,8.93,-2.05,0
24.69,0.008,13.74,0.97,20.89,0.017,10.39,6.53,1
20.89,0.017,10.39,6.53,24.69,0.008,13.74,0.97,0
27.37,0.029,7.56,-5.55,27.66,0.06,6.99,8.86,1
27.66,0.06,6.99,8.86,27.37,0.029,7.56,-5.55,0
32.33,-0.028,12.59,2.42,20.16,-0.022,7.19,2.75,1
